GO:0060321,acceptance of pollen
GO:0009567,double fertilization forming a zygote and endosperm
GO:0007338,single fertilization
GO:0080154,regulation of fertilization
GO:0009865,pollen tube adhesion
GO:0010483,pollen tube reception
GO:0019953,sexual reproduction
GO:0080154,regulation of fertilization
GO:0080092,regulation of pollen tube growth
GO:0010081,regulation of inflorescence meristem growth
GO:0080050,regulation of seed development
GO:2000242,negative regulation of reproductive process
GO:0009909,regulation of flower development
GO:0051445,regulation of meiotic cell cycle
GO:2000028,"regulation of photoperiodism, flowering"
GO:2000243,positive regulation of reproductive process
GO:0051447,negative regulation of meiotic cell cycle
GO:1903046,meiotic cell cycle process
GO:0048236,plant-type sporogenesis
GO:0051445,regulation of meiotic cell cycle
GO:0034293,sexual sporulation
GO:0051446,positive regulation of meiotic cell cycle
GO:0051447,negative regulation of meiotic cell cycle
GO:0048579,"negative regulation of long-day photoperiodism, flowering"
GO:2000692,negative regulation of seed maturation
GO:1904095,negative regulation of endosperm development
GO:0048577,"negative regulation of short-day photoperiodism, flowering"
GO:0009910,negative regulation of flower development
GO:0010162,seed dormancy process
GO:0009900,dehiscence
GO:0007276,gamete generation
GO:0080001,mucilage extrusion from seed coat
GO:0010431,seed maturation
GO:0048530,fruit morphogenesis
GO:0007530,sex determination
GO:0048868,pollen tube development
GO:0009860,pollen tube growth
GO:0080126,ovary septum development
GO:0080112,seed growth
GO:0007281,germ cell development
GO:0010198,synergid death
GO:0010254,nectary development
GO:0009942,longitudinal axis specification
GO:0080060,integument development
GO:0048656,anther wall tapetum formation
GO:0048439,flower morphogenesis
GO:0010214,seed coat development
GO:0048653,anther development
GO:0090376,seed trichome differentiation
GO:0048281,inflorescence morphogenesis
GO:0010450,inflorescence meristem growth
GO:0010654,apical cell fate commitment
GO:0090378,seed trichome elongation
GO:0080086,stamen filament development
GO:0048449,floral organ formation
GO:0010093,specification of floral organ identity
GO:0048515,spermatid differentiation
GO:0010480,microsporocyte differentiation
GO:0048657,anther wall tapetum cell differentiation
GO:0090377,seed trichome initiation
GO:0048658,anther wall tapetum development
GO:0010162,seed dormancy process
GO:0048437,floral organ development
GO:0048481,plant ovule development
GO:0048317,seed morphogenesis
GO:0009960,endosperm development
GO:0048608,reproductive structure development
GO:0048444,floral organ morphogenesis
GO:0048655,anther wall tapetum morphogenesis
GO:0048438,floral whorl development
GO:0010228,vegetative to reproductive phase transition of meristem
GO:0010234,anther wall tapetum cell fate specification
GO:0048508,embryonic meristem development
GO:0048826,cotyledon morphogenesis
GO:0048480,stigma development
GO:0034293,sexual sporulation
GO:0048240,sperm capacitation
GO:0048479,style development
GO:0080166,stomium development
GO:0009835,fruit ripening
GO:0010227,floral organ abscission
GO:0080187,floral organ senescence
GO:0010451,floral meristem growth
GO:0048833,specification of floral organ number
GO:0010582,floral meristem determinacy
GO:0010071,root meristem specification
GO:0009793,embryo development ending in seed dormancy
GO:1990058,fruit replum development
GO:0048235,pollen sperm cell differentiation
GO:0010431,seed maturation
GO:0048700,acquisition of desiccation tolerance in seed
GO:0048354,mucilage biosynthetic process involved in seed coat development
GO:0009859,pollen hydration
GO:0048544,recognition of pollen
GO:0009865,pollen tube adhesion
GO:0051026,chiasma assembly
GO:0140013,meiotic nuclear division
GO:0007131,reciprocal meiotic recombination
GO:0033313,meiotic cell cycle checkpoint
GO:0000212,meiotic spindle organization
GO:0061983,meiosis II cell cycle process
GO:0061982,meiosis I cell cycle process
GO:0048236,plant-type sporogenesis
GO:0006279,premeiotic DNA replication
GO:0051307,meiotic chromosome separation
GO:0051316,attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation
GO:0034089,establishment of meiotic sister chromatid cohesion
GO:0045132,meiotic chromosome segregation
GO:0000706,meiotic DNA double-strand break processing
GO:0070192,chromosome organization involved in meiotic cell cycle
GO:0033206,meiotic cytokinesis
GO:2000693,positive regulation of seed maturation
GO:0051446,positive regulation of meiotic cell cycle
GO:0009911,positive regulation of flower development
GO:0048578,"positive regulation of long-day photoperiodism, flowering"
GO:0007143,female meiotic nuclear division
GO:0007112,male meiosis cytokinesis
GO:0007281,germ cell development
GO:0048240,sperm capacitation
GO:0080166,stomium development
GO:0007140,male meiotic nuclear division
GO:0090376,seed trichome differentiation
GO:0090378,seed trichome elongation
GO:0048515,spermatid differentiation
GO:0090377,seed trichome initiation
GO:0048235,pollen sperm cell differentiation
GO:0007060,male meiosis chromosome segregation
GO:0048574,"long-day photoperiodism, flowering"
GO:2000028,"regulation of photoperiodism, flowering"
GO:0048575,"short-day photoperiodism, flowering"
GO:0009846,pollen germination
GO:0010198,synergid death
GO:0010483,pollen tube reception
GO:0009875,pollen-pistil interaction
